config_id,patch_length,d_model,num_hidden_layers,lr,macro_f1,balanced_acc,ece
0,4,64,2,0.0001,0.3357519002744485,0.3435913167969161,0.030210357053629868
1,4,64,2,0.0005,0.37255308557074385,0.3801232973102752,0.03594234896353948
2,4,64,2,0.001,0.3712624756140402,0.37117256774686924,0.07309139439562716
3,4,64,4,0.0001,0.35486466673725486,0.35591449009989035,0.03261463709072862
4,4,64,4,0.0005,0.4056613199565966,0.39414428276983937,0.06682106233764644
5,4,64,4,0.001,0.40582977633907674,0.39909227935669506,0.04433107719320837
6,4,128,2,0.0001,0.36961403332903536,0.37862375441228163,0.05352162456763825
7,4,128,2,0.0005,0.4206157541960788,0.4199149061970181,0.08151253807718736
8,4,128,2,0.001,0.4064271823834532,0.39898091528504354,0.16405626293951578
9,4,128,4,0.0001,0.3878230864132725,0.38193194335143515,0.07463830331187853
10,4,128,4,0.0005,0.3888032439092664,0.38359576597994466,0.1116886710308474
11,4,128,4,0.001,0.4012601320952181,0.41434742316921885,0.11904931589296364
12,4,256,2,0.0001,0.4046788224586267,0.3978339422106601,0.13938788754830783
13,4,256,2,0.0005,0.3596320729036218,0.3496012642414215,0.2482323174856585
14,4,256,2,0.001,0.3725039934538325,0.3613839486342977,0.21252835705719242
15,4,256,4,0.0001,0.4239888130945606,0.42173981329860616,0.1503119836081747
16,4,256,4,0.0005,0.37684117679908746,0.36060071924038894,0.24646618037763304
17,4,256,4,0.001,0.36818382812653583,0.367021471368898,0.153967102465355
18,8,64,2,0.0001,0.321338986584447,0.32401837437011644,0.00921736529515412
19,8,64,2,0.0005,0.3480160660554764,0.342835410838242,0.049213690020065426
20,8,64,2,0.001,0.38837759496153607,0.40495574736237144,0.09006964180252942
21,8,64,4,0.0001,0.33220127492793516,0.3380051059375355,0.026026687458677204
22,8,64,4,0.0005,0.3834948864508737,0.37923526455163314,0.07689753635231306
23,8,64,4,0.001,0.3816333776509498,0.3672058693803034,0.11338098345978512
24,8,128,2,0.0001,0.3535514819022438,0.3463332428780559,0.05160771455957168
25,8,128,2,0.0005,0.36340322912104134,0.3633038520999058,0.1491462596528238
26,8,128,2,0.001,0.4102505806766622,0.41532990696823696,0.16609411444348818
27,8,128,4,0.0001,0.38620111094644294,0.38097186067175787,0.049544632229395064
28,8,128,4,0.0005,0.41427628615642403,0.4042647582897945,0.15626670501141265
29,8,128,4,0.001,0.3988543636609148,0.39982682427806565,0.1451415580917159
30,8,256,2,0.0001,0.39396463288388,0.38559791622103196,0.14308053824298284
31,8,256,2,0.0005,0.37523488975627883,0.3811150358533361,0.2558689241426705
32,8,256,2,0.001,0.34186646346587946,0.341653240690623,0.24740264630617403
33,8,256,4,0.0001,0.37470776747455126,0.3722388503136857,0.23467123404519885
34,8,256,4,0.0005,0.36704939032743683,0.3499374222422725,0.24481636882795133
35,8,256,4,0.001,0.3217941975704086,0.32148617073215124,0.2154294399715301
